price,brand,model,year_model,mileage,gear,fuel,bodywork,city,state,age_years,price_deviation,brand_avg_price,state_avg_price,city_avg_price,is_luxury_brand
6290000.0,MERCEDES-BENZ,B 200,2013,115000.0,AUTOMATICO,GASOLINA,MINIVAN,SAO JOSE,SC,12,0.0,18842433.333333332,13869422.58064516,16387754.545454545,1
6290000.0,VOLKSWAGEN,POLO HATCH,2018,67288.0,MANUAL,FLEX,HATCH,SANTO ANDRE,SP,7,0.0,10100532.564450474,9799506.052422557,10063042.537313433,0
6290000.0,HYUNDAI,HB20,2020,78993.0,MANUAL,FLEX,HATCH,ARUJA,SP,5,-60200.0,8349066.613162119,9799506.052422557,10990000.0,0
6180000.0,FIAT,ARGO,2022,54000.0,MANUAL,FLEX,HATCH,BELO HORIZONTE,MG,3,-438800.0,8808720.06633499,10169664.930924548,9939429.85553772,0
6099000.0,FIAT,MOBI,2023,50220.0,MANUAL,FLEX,HATCH,RIO VERDE,GO,2,468095.2380952379,8808720.06633499,18843937.77027027,11733920.0,0
5999000.0,HYUNDAI,HB20,2018,64000.0,MANUAL,FLEX,HATCH,CUIABA,MT,7,504500.0,8349066.613162119,11402058.823529411,11479895.833333334,0
5990000.0,HONDA,ACCORD,2008,135000.0,AUTOMATICO,GASOLINA,SEDAN,CAXIAS DO SUL,RS,17,0.0,11329637.5,10419350.649350649,10213111.111111112,0
5990000.0,CHEVROLET,ONIX,2018,113000.0,MANUAL,FLEX,HATCH,BELO HORIZONTE,MG,7,-600000.0,9845740.728643216,10169664.930924548,9939429.85553772,0
5990000.0,FIAT,STRADA,2019,85381.0,MANUAL,FLEX,PICAPE CABINE DUPLA,BRUMADINHO,MG,6,-1103000.0,8808720.06633499,10169664.930924548,6792500.0,0
5900000.0,FORD,KA,2019,75000.0,AUTOMATICO,FLEX,SEDAN,MACEIO,AL,6,540000.0,11046331.914893618,7725018.518518519,7725018.518518519,0
37139000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,6655647.05882353,18892571.42857143,18843937.77027027,24990000.0,0
36579000.0,LAND,ROVER RANGE ROVER VELAR,2019,74349.0,AUTOMATICO,GASOLINA,SUV,SANTOS,SP,6,-6205500.0,29649333.333333332,9799506.052422557,13225034.48275862,0
32692000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,2208647.0588235296,18892571.42857143,18843937.77027027,24990000.0,0
32662000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,2178647.0588235296,18892571.42857143,18843937.77027027,24990000.0,0
32662000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,2178647.0588235296,18892571.42857143,18843937.77027027,24990000.0,0
32662000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,2178647.0588235296,18892571.42857143,18843937.77027027,24990000.0,0
31990000.0,MERCEDES-BENZ,C 300,2021,42646.0,AUTOMATICO,HIBRIDO,SEDAN,GOIANIA,GO,4,0.0,18842433.333333332,18843937.77027027,19793575.024875622,1
31990000.0,LAND,ROVER RANGE ROVER EVOQUE,2021,69000.0,AUTOMATICO,FLEX,SUV,GOIANIA,GO,4,0.0,29649333.333333332,18843937.77027027,19793575.024875622,0
31990000.0,BMW,X1,2023,4800.0,AUTOMATICO,GASOLINA,SUV,GOIANIA,GO,2,0.0,21954352.83018868,18843937.77027027,19793575.024875622,1
31979000.0,AUDI,Q7,2020,70303.0,AUTOMATICO,GASOLINA,SUV,SANTOS,SP,5,0.0,24709242.10526316,9799506.052422557,13225034.48275862,0
31500000.0,TOYOTA,HILUX SW4,2022,44000.0,AUTOMATICO,DIESEL,SUV,CUIABA,MT,3,0.0,18892571.42857143,11402058.823529411,11479895.833333334,0
30989900.0,JEEP,WRANGLER,2019,49000.0,AUTOMATICO,GASOLINA,SUV,FLORIANOPOLIS,SC,6,0.0,13083418.585858585,13869422.58064516,14783085.714285715,0
29590000.0,BMW,320I,2022,23661.0,AUTOMATICO,FLEX,SEDAN,GOIANIA,GO,3,4265166.666666668,21954352.83018868,18843937.77027027,19793575.024875622,1
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
29200000.0,TOYOTA,HILUX,2024,0.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,APARECIDA DE GOIANIA,GO,1,-1283352.9411764704,18892571.42857143,18843937.77027027,24990000.0,0
5268000.0,FIAT,MOBI,2022,49675.0,MANUAL,FLEX,HATCH,PORTO ALEGRE,RS,3,-109666.66666666698,8808720.06633499,10419350.649350649,9961100.0,0
5899000.0,CHEVROLET,ONIX,2017,89000.0,MANUAL,FLEX,HATCH,MACEIO,AL,8,0.0,9845740.728643216,7725018.518518519,7725018.518518519,0
5890000.0,FIAT,STRADA,2013,145779.0,MANUAL,FLEX,PICAPE CABINE DUPLA,ARUJA,SP,12,695000.0,8808720.06633499,9799506.052422557,10990000.0,0
5690000.0,FIAT,MOBI,2022,72548.0,MANUAL,FLEX,HATCH,SOROCABA,SP,3,312333.333333333,8808720.06633499,9799506.052422557,11105214.814814815,0
5599000.0,HYUNDAI,TUCSON,2012,136251.0,AUTOMATICO,FLEX,SUV,SAO BERNARDO DO CAMPO,SP,13,0.0,8349066.613162119,9799506.052422557,8960526.315789474,0
5590000.0,FIAT,UNO,2017,68000.0,AUTOMATICO,FLEX,HATCH,CAXIAS DO SUL,RS,8,0.0,8808720.06633499,10419350.649350649,10213111.111111112,0
5500000.0,FIAT,DOBLO,2015,159148.0,MANUAL,FLEX,MINIVAN,MACEIO,AL,10,0.0,8808720.06633499,7725018.518518519,7725018.518518519,0
5490000.0,FIAT,GRAND SIENA,2019,59714.0,MANUAL,FLEX,SEDAN,SANTO ANDRE,SP,6,0.0,8808720.06633499,9799506.052422557,10063042.537313433,0
2300000.0,FORD,KA,2012,60000.0,MANUAL,FLEX,HATCH,MACEIO,AL,13,0.0,11046331.914893618,7725018.518518519,7725018.518518519,0
44890000.0,LAND,ROVER RANGE ROVER SPORT,2022,46000.0,AUTOMATICO,HIBRIDO,SUV,GOIANIA,GO,3,0.0,29649333.333333332,18843937.77027027,19793575.024875622,0
40000000.0,MERCEDES-BENZ,GLC 43 AMG,2019,23000.0,AUTOMATICO,GASOLINA,SUV,GOIANIA,GO,6,0.0,18842433.333333332,18843937.77027027,19793575.024875622,1
32990000.0,LAND,ROVER RANGE ROVER VELAR,2018,67000.0,AUTOMATICO,GASOLINA,SUV,GOIANIA,GO,7,1000000.0,29649333.333333332,18843937.77027027,19793575.024875622,0
30990000.0,LAND,ROVER RANGE ROVER VELAR,2018,68000.0,AUTOMATICO,GASOLINA,SUV,GOIANIA,GO,7,-1000000.0,29649333.333333332,18843937.77027027,19793575.024875622,0
28990000.0,PORSCHE,MACAN,2016,97000.0,AUTOMATICO,GASOLINA,SUV,GOIANIA,GO,9,0.0,63618804.76190476,18843937.77027027,19793575.024875622,1
22990000.0,BMW,320I,2020,59000.0,AUTOMATICO,GASOLINA,SEDAN,GOIANIA,GO,5,350000.0,21954352.83018868,18843937.77027027,19793575.024875622,1
20000000.0,BMW,X6,2015,84000.0,AUTOMATICO,GASOLINA,SUV,GOIANIA,GO,10,0.0,21954352.83018868,18843937.77027027,19793575.024875622,1
18990000.0,BMW,X4,2017,79000.0,AUTOMATICO,GASOLINA,SUV,GOIANIA,GO,8,0.0,21954352.83018868,18843937.77027027,19793575.024875622,1
18990000.0,FORD,RANGER,2022,40000.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,GOIANIA,GO,3,0.0,11046331.914893618,18843937.77027027,19793575.024875622,0
17490000.0,VOLKSWAGEN,TAOS,2023,19000.0,AUTOMATICO,FLEX,SUV,GOIANIA,GO,2,279250.0,10100532.564450474,18843937.77027027,19793575.024875622,0
16990000.0,JEEP,COMMANDER,2021,37879.0,AUTOMATICO,FLEX,SUV,GOIANIA,GO,4,-2286666.666666668,13083418.585858585,18843937.77027027,19793575.024875622,0
20369000.0,BMW,X1,2021,31327.0,AUTOMATICO,FLEX,SUV,BELO HORIZONTE,MG,4,357300.0,21954352.83018868,10169664.930924548,9939429.85553772,1
20319000.0,JEEP,COMPASS,2022,8254.0,AUTOMATICO,FLEX,SUV,SAO PAULO,SP,3,5991637.878787879,13083418.585858585,9799506.052422557,9694394.39163498,0
20122000.0,TOYOTA,COROLLA,2024,0.0,AUTOMATICO,FLEX,SEDAN,APARECIDA DE GOIANIA,GO,1,2570166.666666668,18892571.42857143,18843937.77027027,24990000.0,0
20099000.0,CHEVROLET,S10,2023,57915.0,AUTOMATICO,DIESEL,PICAPE,RIO DE JANEIRO,RJ,2,-233666.6666666679,9845740.728643216,10632847.154471545,10881728.767123288,0
20099000.0,CHEVROLET,S10,2023,57915.0,AUTOMATICO,DIESEL,PICAPE,RIO DE JANEIRO,RJ,2,-233666.6666666679,9845740.728643216,10632847.154471545,10881728.767123288,0
